Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,182,4,Some Random Commen with Id 0
1,0,7,74,2,Some Random Commen with Id 1
2,0,7,148,3,Some Random Commen with Id 2
3,0,7,142,6,Some Random Commen with Id 3
4,0,7,125,9,Some Random Commen with Id 4
5,0,7,35,4,Some Random Commen with Id 5
6,0,7,176,8,Some Random Commen with Id 6
7,1,8,32,6,Some Random Commen with Id 7
8,1,8,74,6,Some Random Commen with Id 8
9,1,8,145,7,Some Random Commen with Id 9
10,1,8,83,8,Some Random Commen with Id 10
11,1,8,126,1,Some Random Commen with Id 11
12,1,8,127,4,Some Random Commen with Id 12
13,2,8,157,3,Some Random Commen with Id 13
14,2,8,89,7,Some Random Commen with Id 14
15,3,9,47,8,Some Random Commen with Id 15
16,3,9,179,0,Some Random Commen with Id 16
17,3,9,4,6,Some Random Commen with Id 17
18,4,2,161,9,Some Random Commen with Id 18
19,4,2,17,9,Some Random Commen with Id 19
20,4,2,155,6,Some Random Commen with Id 20
21,4,2,83,5,Some Random Commen with Id 21
22,4,2,166,5,Some Random Commen with Id 22
23,4,2,178,9,Some Random Commen with Id 23
24,4,2,5,7,Some Random Commen with Id 24
25,4,2,57,3,Some Random Commen with Id 25
26,4,2,76,0,Some Random Commen with Id 26
27,6,1,181,0,Some Random Commen with Id 27
28,6,1,78,2,Some Random Commen with Id 28
29,7,5,172,5,Some Random Commen with Id 29
30,7,5,73,5,Some Random Commen with Id 30
31,7,5,57,2,Some Random Commen with Id 31
32,7,5,143,8,Some Random Commen with Id 32
33,7,5,64,2,Some Random Commen with Id 33
34,7,5,81,2,Some Random Commen with Id 34
35,7,5,113,0,Some Random Commen with Id 35
36,7,5,196,1,Some Random Commen with Id 36
37,8,2,97,4,Some Random Commen with Id 37
38,8,2,16,8,Some Random Commen with Id 38
39,8,2,162,0,Some Random Commen with Id 39
40,8,2,101,9,Some Random Commen with Id 40
41,9,6,167,6,Some Random Commen with Id 41
42,9,6,89,0,Some Random Commen with Id 42
43,9,6,11,2,Some Random Commen with Id 43
44,9,6,45,8,Some Random Commen with Id 44
45,9,6,27,5,Some Random Commen with Id 45
46,9,6,164,9,Some Random Commen with Id 46
47,9,6,37,3,Some Random Commen with Id 47
48,10,4,121,6,Some Random Commen with Id 48
49,10,4,63,8,Some Random Commen with Id 49
50,11,1,2,7,Some Random Commen with Id 50
51,11,1,81,9,Some Random Commen with Id 51
52,11,1,145,5,Some Random Commen with Id 52
53,11,1,183,7,Some Random Commen with Id 53
54,13,0,170,9,Some Random Commen with Id 54
55,13,0,19,1,Some Random Commen with Id 55
56,13,0,196,9,Some Random Commen with Id 56
57,13,0,187,9,Some Random Commen with Id 57
58,13,0,133,3,Some Random Commen with Id 58
59,13,0,180,7,Some Random Commen with Id 59
60,13,0,199,8,Some Random Commen with Id 60
61,13,0,119,7,Some Random Commen with Id 61
62,14,7,98,2,Some Random Commen with Id 62
63,14,7,31,2,Some Random Commen with Id 63
64,14,7,178,2,Some Random Commen with Id 64
65,14,7,134,2,Some Random Commen with Id 65
66,14,7,149,2,Some Random Commen with Id 66
67,14,7,53,4,Some Random Commen with Id 67
68,14,7,173,5,Some Random Commen with Id 68
69,14,7,162,3,Some Random Commen with Id 69
70,14,7,113,2,Some Random Commen with Id 70
71,15,1,61,7,Some Random Commen with Id 71
72,15,1,54,1,Some Random Commen with Id 72
73,16,8,104,2,Some Random Commen with Id 73
74,16,8,137,9,Some Random Commen with Id 74
75,16,8,7,2,Some Random Commen with Id 75
76,16,8,176,0,Some Random Commen with Id 76
77,17,8,143,7,Some Random Commen with Id 77
78,18,2,156,0,Some Random Commen with Id 78
79,18,2,20,1,Some Random Commen with Id 79
80,18,2,74,4,Some Random Commen with Id 80
81,18,2,132,2,Some Random Commen with Id 81
82,18,2,48,4,Some Random Commen with Id 82
83,18,2,90,6,Some Random Commen with Id 83
84,18,2,6,4,Some Random Commen with Id 84
85,18,2,138,5,Some Random Commen with Id 85
86,18,2,35,0,Some Random Commen with Id 86
87,19,3,90,9,Some Random Commen with Id 87
88,19,3,188,2,Some Random Commen with Id 88
89,20,8,186,5,Some Random Commen with Id 89
90,20,8,116,3,Some Random Commen with Id 90
91,22,6,120,4,Some Random Commen with Id 91
92,22,6,168,4,Some Random Commen with Id 92
93,22,6,132,3,Some Random Commen with Id 93
94,22,6,158,6,Some Random Commen with Id 94
95,22,6,26,0,Some Random Commen with Id 95
96,22,6,193,6,Some Random Commen with Id 96
97,22,6,110,5,Some Random Commen with Id 97
98,23,5,82,5,Some Random Commen with Id 98
99,23,5,46,7,Some Random Commen with Id 99
100,23,5,81,3,Some Random Commen with Id 100
101,23,5,4,4,Some Random Commen with Id 101
102,23,5,63,4,Some Random Commen with Id 102
103,23,5,118,1,Some Random Commen with Id 103
104,23,5,132,0,Some Random Commen with Id 104
105,23,5,116,0,Some Random Commen with Id 105
106,23,5,7,4,Some Random Commen with Id 106
107,24,5,7,0,Some Random Commen with Id 107
108,24,5,189,6,Some Random Commen with Id 108
109,24,5,117,7,Some Random Commen with Id 109
110,25,1,5,4,Some Random Commen with Id 110
111,25,1,197,6,Some Random Commen with Id 111
112,26,6,137,5,Some Random Commen with Id 112
113,26,6,83,2,Some Random Commen with Id 113
114,26,6,138,3,Some Random Commen with Id 114
115,26,6,153,7,Some Random Commen with Id 115
116,26,6,48,3,Some Random Commen with Id 116
117,26,6,23,8,Some Random Commen with Id 117
118,26,6,61,3,Some Random Commen with Id 118
119,26,6,164,9,Some Random Commen with Id 119
120,26,6,184,3,Some Random Commen with Id 120
121,27,5,178,4,Some Random Commen with Id 121
122,27,5,151,2,Some Random Commen with Id 122
123,27,5,150,1,Some Random Commen with Id 123
124,27,5,180,7,Some Random Commen with Id 124
125,27,5,174,2,Some Random Commen with Id 125
126,28,9,0,6,Some Random Commen with Id 126
127,28,9,165,4,Some Random Commen with Id 127
128,28,9,71,5,Some Random Commen with Id 128
129,29,4,190,8,Some Random Commen with Id 129
130,29,4,195,2,Some Random Commen with Id 130
131,29,4,87,4,Some Random Commen with Id 131
132,29,4,99,0,Some Random Commen with Id 132
133,29,4,138,4,Some Random Commen with Id 133
134,29,4,101,8,Some Random Commen with Id 134
135,29,4,49,6,Some Random Commen with Id 135
136,29,4,28,9,Some Random Commen with Id 136
137,29,4,144,0,Some Random Commen with Id 137
138,30,5,98,5,Some Random Commen with Id 138
139,30,5,74,8,Some Random Commen with Id 139
140,31,4,52,5,Some Random Commen with Id 140
141,31,4,73,4,Some Random Commen with Id 141
142,31,4,172,5,Some Random Commen with Id 142
143,31,4,109,1,Some Random Commen with Id 143
144,31,4,188,3,Some Random Commen with Id 144
145,33,6,189,8,Some Random Commen with Id 145
146,33,6,80,5,Some Random Commen with Id 146
147,33,6,30,4,Some Random Commen with Id 147
148,33,6,72,7,Some Random Commen with Id 148
